Name,Sales: Passenger Car,Sales: Passenger Car: Battery Electric,,,
Frequency,Month,Month,,,
Unit,unit,unit,,,
ID,S0105711,S6129663,,,
Time Period,2005-01:2022-11,2015-01:2022-11,,,
Source,China Association of Automobile Manufacturers,China Association of Automobile Manufacturers,,,
Update,'2022-12-15,'2022-12-15,,,
2016-03,2055706.00 ,,,,
2016-04,1779130.00 ,,,,
2016-05,1793035.00 ,,,,
2016-06,1784053.00 ,25145.00 ,,,
2016-07,1604530.00 ,20640.00 ,,,
2016-08,1795512.00 ,22286.00 ,,,
2016-09,2268338.00 ,24063.00 ,,,
2016-10,2344128.00 ,28264.00 ,,,
2016-11,2590157.00 ,41172.00 ,,,
2016-12,2672264.00 ,40383.00 ,,,
2017-01,2218215.00 ,3936.00 ,,,
2017-02,1632748.00 ,13346.00 ,,,
2017-03,2096286.00 ,23677.00 ,,,
2017-04,1722243.00 ,25413.00 ,,,
2017-05,1751294.00 ,32437.00 ,,,
2017-06,1831847.00 ,33457.00 ,,,
2017-07,1678433.00 ,33772.00 ,,,
2017-08,1875193.00 ,43847.00 ,,,
2017-09,2342567.00 ,48182.00 ,,,
2017-10,2352462.00 ,54894.00 ,,,
2017-11,2589477.00 ,72582.00 ,,,
2017-12,2653255.00 ,84887.00 ,,,
2018-01,2456157.00 ,22367.00 ,,,
2018-02,1475512.00 ,21315.00 ,,,
2018-03,2168570.00 ,46217.00 ,,,
2018-04,1914369.00 ,55318.00 ,,,
2018-05,1889414.00 ,65071.00 ,,,
2018-06,1874181.00 ,51619.00 ,,,
2018-07,1589544.00 ,50211.00 ,,,
2018-08,1789871.00 ,62413.00 ,,,
2018-09,2060478.00 ,80014.00 ,,,
2018-10,2046840.00 ,94092.00 ,,,
2018-11,2173485.00 ,108834.00 ,,,
2018-12,2233108.00 ,134806.00 ,,,
2019-01,2021089.00 ,64800.00 ,,,
2019-02,1219497.00 ,36298.00 ,,,
2019-03,2019443.00 ,84537.00 ,,,
2019-04,1574877.00 ,64124.00 ,,,
2019-05,1561172.00 ,74844.00 ,,,
2019-06,1727910.00 ,115410.00 ,,,
2019-07,1527912.00 ,48115.00 ,,,
2019-08,1652908.00 ,63313.00 ,,,
2019-09,1930637.00 ,56209.00 ,,,
2019-10,1927669.00 ,49883.00 ,,,
2019-11,2056669.00 ,62968.00 ,,,
2019-12,2213089.00 ,105026.00 ,,,
2020-01,1606851.00 ,29269.00 ,,,
2020-02,223605.00 ,9291.00 ,,,
2020-03,1042689.00 ,34519.00 ,,,
2020-04,1536206.00 ,43094.00 ,,,
2020-05,1673682.00 ,57248.00 ,,,
2020-06,1763626.00 ,71719.00 ,,,
2020-07,1664689.00 ,69536.00 ,,,
2020-08,1754529.00 ,79722.00 ,,,
2020-09,2088191.00 ,99945.00 ,,,
2020-10,2109557.00 ,121575.00 ,,,
2020-11,2297401.00 ,154353.00 ,,,
2020-12,2375101.00 ,188709.00 ,,,
2021-01,2044769.00 ,143436.00 ,,,
2021-02,1155887.00 ,88932.00 ,,,
2021-03,1874311.00 ,175946.00 ,,,
2021-04,1704040.00 ,157882.00 ,,,
2021-05,1646037.00 ,165722.00 ,,,
2021-06,1569081.00 ,197791.00 ,,,
2021-07,1551395.00 ,206173.00 ,,,
2021-08,1551987.00 ,251043.00 ,,,
2021-09,1750517.00 ,280549.00 ,,,
2021-10,2006816.00 ,298201.00 ,,,
2021-11,2191953.00 ,339204.00 ,,,
2021-12,2421558.00 ,416018.00 ,,,
2022-01,2186344.00 ,334559.00 ,,,
2022-02,1487442.00 ,246049.00 ,,,
2022-03,1864360.00 ,373440.00 ,,,
2022-04,965120.00 ,212340.00 ,,,
2022-05,1622879.00 ,327101.00 ,,,
2022-06,2221604.00 ,448791.00 ,,,
2022-07,2174325.00 ,432461.00 ,,,
2022-08,2125260.00 ,492669.00 ,,,
2022-09,2331769.00 ,506421.00 ,,,
2022-10,2231197.00 ,508476.00 ,,,
2022-11,2074816.00 ,572476.00 ,,,
2022-12,2265024.00 ,568278.00 ,,,
?????Wind,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
