Wind,,,,,,,,,,,,,,
Name,China: Blast Furnace Starting Rate (247),China: Blast Furnace Refining Production Capacity Utilization (247),China: Tangshan: Operating Rate of Blast Furnaces,China: Operating Rate: Deformed Steel Bar: Major Steel Mills,China: Operating Rate: Electric Furnace,China: Capacity Utilization: Electric Stove,China: Estimated Daily Average Output: Steel Products,China: Estimated Daily Average Output: Pig Iron,China: Estimated Daily Average Output: Crude Steel,China: Daily Average Output: Crude Steel,China: Estimated Daily Average Output: Coke,China: Operating Rate: Wire Rod: Major Steel Mills,China: Operating Rate: Deformed Steel Bar: Major Steel Mills,China: Operating Rate of Blast Furnaces (163 Steel Mills)
Frequency,Week,Week,Week,Week,Week,Week,Every Day,Every Day,Every Day,Week,Every Day,Week,Week,Week
Unit,%,%,%,%,%,%,10000 tons/day,10000 tons/day,10000 tons/day,10000 tons/day,10000 tons/day,%,%,%
ID,C1925068,O2244511,S5711217,S5713303,S5715650,S5715660,S5715686,S5715685,S5708247,S5704502,S5715687,S5713327,S5713303,S5708175
Time Period,2018-03-02:2024-12-20,2018-03-02:2024-12-20,2013-12-20:2024-12-20,2015-02-27:2024-12-20,2017-12-08:2024-12-20,2017-12-08:2024-12-20,2014-06-10:2024-12-10,2014-06-10:2024-12-10,2009-01-10:2024-12-10,2009-01-10:2024-12-10,2014-06-10:2021-03-10,2015-02-27:2024-12-20,2015-02-27:2024-12-20,2012-08-03:2021-12-24
Source,Wind,Wind,China United Steel Network,Wind,China United Steel Network,China United Steel Network,Steelhome,Steelhome,Steelhome,Steelhome,Steelhome,Wind,Wind,Wind
Update,2024-12-20,2024-12-20,2024-12-20,2024-12-20,2024-12-20,2024-12-20,2024-12-14,2024-12-14,2024-12-14,2024-12-14,2021-03-15,2024-12-20,2024-12-20,2023-09-20
2014-01-17,0.00 ,0.00 ,91.44 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,93.21 
2014-01-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,200.66 ,200.66 ,0.00 ,0.00 ,0.00 ,0.00 
2014-01-24,0.00 ,0.00 ,91.41 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,92.80 
2014-01-31,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,196.40 ,196.40 ,0.00 ,0.00 ,0.00 ,0.00 
2014-02-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,206.61 ,206.60 ,0.00 ,0.00 ,0.00 ,0.00 
2014-02-14,0.00 ,0.00 ,90.56 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,93.20 
2014-02-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,196.64 ,196.64 ,0.00 ,0.00 ,0.00 ,0.00 
2014-02-21,0.00 ,0.00 ,89.72 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,91.75 
2014-02-28,0.00 ,0.00 ,88.51 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,208.17 ,208.20 ,0.00 ,0.00 ,0.00 ,91.18 
2014-03-07,0.00 ,0.00 ,84.14 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,88.57 
2014-03-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,209.68 ,209.68 ,0.00 ,0.00 ,0.00 ,0.00 
2014-03-14,0.00 ,0.00 ,83.79 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,88.00 
2014-03-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,209.60 ,209.60 ,0.00 ,0.00 ,0.00 ,0.00 
2014-03-21,0.00 ,0.00 ,84.98 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,88.10 
2014-03-28,0.00 ,0.00 ,84.53 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,87.31 
2014-03-31,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,207.33 ,207.30 ,0.00 ,0.00 ,0.00 ,0.00 
2014-04-04,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,86.58 
2014-04-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,215.15 ,215.15 ,0.00 ,0.00 ,0.00 ,0.00 
2014-04-11,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,87.13 
2014-04-18,0.00 ,0.00 ,88.61 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,88.24 
2014-04-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,228.02 ,228.02 ,0.00 ,0.00 ,0.00 ,0.00 
2014-04-25,0.00 ,0.00 ,88.65 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,88.14 
2014-04-30,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,227.69 ,227.69 ,0.00 ,0.00 ,0.00 ,0.00 
2014-05-02,0.00 ,0.00 ,88.18 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,87.87 
2014-05-09,0.00 ,0.00 ,89.73 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,88.64 
2014-05-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,228.50 ,228.50 ,0.00 ,0.00 ,0.00 ,0.00 
2014-05-16,0.00 ,0.00 ,89.73 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,88.23 
2014-05-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,227.61 ,227.61 ,0.00 ,0.00 ,0.00 ,0.00 
2014-05-23,0.00 ,0.00 ,88.69 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,88.65 
2014-05-30,0.00 ,0.00 ,91.28 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,88.10 
2014-06-06,0.00 ,0.00 ,92.13 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,88.44 
2014-06-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,299.40 ,199.38 ,228.76 ,228.76 ,129.24 ,0.00 ,0.00 ,0.00 
2014-06-13,0.00 ,0.00 ,92.58 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,88.79 
2014-06-20,0.00 ,0.00 ,93.42 ,0.00 ,0.00 ,0.00 ,307.67 ,199.86 ,228.79 ,228.79 ,132.05 ,0.00 ,0.00 ,88.65 
2014-06-27,0.00 ,0.00 ,94.34 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,90.21 
2014-06-30,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,313.40 ,197.28 ,224.92 ,224.92 ,127.98 ,0.00 ,0.00 ,0.00 
2014-07-04,0.00 ,0.00 ,94.34 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,90.16 
2014-07-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,301.23 ,199.43 ,227.62 ,227.62 ,0.00 ,0.00 ,0.00 ,0.00 
2014-07-11,0.00 ,0.00 ,95.15 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,90.17 
2014-07-18,0.00 ,0.00 ,95.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,90.17 
2014-07-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,309.93 ,198.32 ,225.30 ,225.30 ,134.86 ,0.00 ,0.00 ,0.00 
2014-07-25,0.00 ,0.00 ,95.75 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,91.18 
2014-07-31,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,314.08 ,195.14 ,223.55 ,223.55 ,131.68 ,0.00 ,0.00 ,0.00 
2014-08-01,0.00 ,0.00 ,95.40 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,91.00 
2014-08-08,0.00 ,0.00 ,94.95 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,91.00 
2014-08-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,292.55 ,196.99 ,222.98 ,222.98 ,131.42 ,0.00 ,0.00 ,0.00 
2014-08-15,0.00 ,0.00 ,94.76 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,91.00 
2014-08-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,311.31 ,199.00 ,224.93 ,224.93 ,128.57 ,0.00 ,0.00 ,0.00 
2014-08-22,0.00 ,0.00 ,95.60 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,91.59 
2014-08-29,0.00 ,0.00 ,96.11 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,91.32 
2014-08-31,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,272.57 ,172.60 ,192.66 ,192.66 ,113.82 ,0.00 ,0.00 ,0.00 
2014-09-05,0.00 ,0.00 ,96.46 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,91.59 
2014-09-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,291.66 ,197.38 ,222.08 ,222.08 ,129.75 ,0.00 ,0.00 ,0.00 
2014-09-12,0.00 ,0.00 ,96.48 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,91.42 
2014-09-19,0.00 ,0.00 ,94.93 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,90.87 
2014-09-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,299.99 ,192.93 ,216.40 ,216.40 ,131.34 ,0.00 ,0.00 ,0.00 
2014-09-26,0.00 ,0.00 ,95.40 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,89.94 
2014-09-30,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,306.65 ,196.61 ,217.34 ,217.34 ,130.24 ,0.00 ,0.00 ,0.00 
2014-10-10,0.00 ,0.00 ,95.54 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,219.59 ,219.59 ,0.00 ,0.00 ,0.00 ,89.52 
2014-10-17,0.00 ,0.00 ,94.20 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,88.99 
2014-10-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,298.42 ,191.69 ,215.68 ,215.68 ,123.75 ,0.00 ,0.00 ,0.00 
2014-10-24,0.00 ,0.00 ,94.03 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,88.97 
2014-10-31,0.00 ,0.00 ,93.58 ,0.00 ,0.00 ,0.00 ,329.48 ,207.32 ,239.99 ,239.99 ,140.61 ,0.00 ,0.00 ,88.84 
2014-11-07,0.00 ,0.00 ,91.82 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,88.28 
2014-11-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,200.72 ,200.72 ,0.00 ,0.00 ,0.00 ,0.00 
2014-11-14,0.00 ,0.00 ,94.34 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,84.37 
2014-11-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,290.55 ,179.93 ,203.28 ,203.28 ,123.22 ,0.00 ,0.00 ,0.00 
2014-11-21,0.00 ,0.00 ,96.62 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,89.07 
2014-11-28,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,89.66 
2014-11-30,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,325.69 ,188.09 ,211.62 ,211.62 ,132.41 ,0.00 ,0.00 ,0.00 
2014-12-05,0.00 ,0.00 ,96.81 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,89.90 
2014-12-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,298.18 ,190.36 ,219.54 ,219.54 ,134.46 ,0.00 ,0.00 ,0.00 
2014-12-12,0.00 ,0.00 ,97.23 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,90.41 
2014-12-19,0.00 ,0.00 ,97.23 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,91.87 
2014-12-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,314.81 ,192.52 ,227.31 ,227.31 ,134.60 ,0.00 ,0.00 ,0.00 
2014-12-26,0.00 ,0.00 ,97.65 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,91.55 
2014-12-31,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,229.80 ,229.80 ,0.00 ,0.00 ,0.00 ,0.00 
2015-01-02,0.00 ,0.00 ,96.85 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,91.14 
2015-01-09,0.00 ,0.00 ,96.45 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,91.04 
2015-01-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,297.07 ,189.07 ,219.97 ,219.97 ,133.73 ,0.00 ,0.00 ,0.00 
2015-01-16,0.00 ,0.00 ,96.52 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,90.86 
2015-01-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,212.40 ,212.40 ,0.00 ,0.00 ,0.00 ,0.00 
2015-01-23,0.00 ,0.00 ,94.27 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,89.81 
2015-01-30,0.00 ,0.00 ,91.64 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,87.45 
2015-01-31,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,305.47 ,188.67 ,237.95 ,237.95 ,0.00 ,0.00 ,0.00 ,0.00 
2015-02-06,0.00 ,0.00 ,91.36 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,86.90 
2015-02-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,204.54 ,204.54 ,0.00 ,0.00 ,0.00 ,0.00 
2015-02-13,0.00 ,0.00 ,91.36 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,86.76 
2015-02-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,278.81 ,181.55 ,207.36 ,207.36 ,129.52 ,0.00 ,0.00 ,0.00 
2015-02-27,0.00 ,0.00 ,91.27 ,64.60 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,65.10 ,64.60 ,86.16 
2015-02-28,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,295.22 ,192.25 ,211.41 ,211.41 ,138.78 ,0.00 ,0.00 ,0.00 
2015-03-06,0.00 ,0.00 ,90.96 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,84.92 
2015-03-07,0.00 ,0.00 ,0.00 ,67.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,65.10 ,67.00 ,0.00 
2015-03-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,219.68 ,219.68 ,0.00 ,0.00 ,0.00 ,0.00 
2015-03-13,0.00 ,0.00 ,90.02 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,85.42 
2015-03-14,0.00 ,0.00 ,0.00 ,70.60 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,65.10 ,70.60 ,0.00 
2015-03-20,0.00 ,0.00 ,90.11 ,0.00 ,0.00 ,0.00 ,287.09 ,193.36 ,212.89 ,212.89 ,127.55 ,0.00 ,0.00 ,84.92 
2015-03-21,0.00 ,0.00 ,0.00 ,74.18 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,67.19 ,74.18 ,0.00 
2015-03-27,0.00 ,0.00 ,90.64 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,83.82 
2015-03-28,0.00 ,0.00 ,0.00 ,76.10 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,68.99 ,76.10 ,0.00 
2015-03-31,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,290.22 ,189.11 ,209.30 ,209.30 ,125.24 ,0.00 ,0.00 ,0.00 
2015-04-03,0.00 ,0.00 ,92.45 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,86.03 
2015-04-05,0.00 ,0.00 ,0.00 ,77.89 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,70.79 ,77.89 ,0.00 
2015-04-10,0.00 ,0.00 ,94.01 ,0.00 ,0.00 ,0.00 ,308.43 ,191.44 ,225.70 ,225.70 ,125.50 ,0.00 ,0.00 ,86.86 
2015-04-11,0.00 ,0.00 ,0.00 ,77.89 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,72.59 ,77.89 ,0.00 
2015-04-17,0.00 ,0.00 ,94.01 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,86.44 
2015-04-18,0.00 ,0.00 ,0.00 ,79.48 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,73.13 ,79.48 ,0.00 
2015-04-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,314.32 ,194.04 ,228.50 ,228.50 ,125.36 ,0.00 ,0.00 ,0.00 
2015-04-24,0.00 ,0.00 ,94.01 ,79.48 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,75.50 ,79.48 ,86.90 
2015-04-30,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,334.60 ,203.78 ,235.14 ,235.14 ,124.74 ,0.00 ,0.00 ,0.00 
2015-05-01,0.00 ,0.00 ,93.26 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,87.13 
2015-05-02,0.00 ,0.00 ,0.00 ,81.08 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,74.88 ,81.08 ,0.00 
2015-05-08,0.00 ,0.00 ,93.72 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,86.62 
2015-05-09,0.00 ,0.00 ,0.00 ,82.68 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,78.26 ,82.68 ,0.00 
2015-05-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,226.90 ,226.90 ,0.00 ,0.00 ,0.00 ,0.00 
2015-05-15,0.00 ,0.00 ,94.03 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,86.98 
2015-05-16,0.00 ,0.00 ,0.00 ,82.29 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,78.26 ,82.29 ,0.00 
2015-05-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,317.66 ,193.33 ,228.50 ,228.50 ,0.00 ,0.00 ,0.00 ,0.00 
2015-05-22,0.00 ,0.00 ,94.47 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,86.62 
2015-05-23,0.00 ,0.00 ,0.00 ,80.94 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,77.58 ,80.94 ,0.00 
2015-05-29,0.00 ,0.00 ,94.47 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,86.35 
2015-05-30,0.00 ,0.00 ,0.00 ,80.94 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,76.34 ,80.94 ,0.00 
2015-05-31,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,222.82 ,222.82 ,0.00 ,0.00 ,0.00 ,0.00 
2015-06-05,0.00 ,0.00 ,94.03 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,86.21 
2015-06-06,0.00 ,0.00 ,0.00 ,83.42 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,79.50 ,83.42 ,0.00 
2015-06-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,300.24 ,195.41 ,223.72 ,223.72 ,126.28 ,0.00 ,0.00 ,0.00 
2015-06-12,0.00 ,0.00 ,93.59 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,86.17 
2015-06-13,0.00 ,0.00 ,0.00 ,82.25 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,79.50 ,82.25 ,0.00 
2015-06-19,0.00 ,0.00 ,95.09 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,85.66 
2015-06-20,0.00 ,0.00 ,0.00 ,81.04 ,0.00 ,0.00 ,318.28 ,197.99 ,227.75 ,227.75 ,124.72 ,78.77 ,81.04 ,0.00 
2015-06-26,0.00 ,0.00 ,93.59 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,84.23 
2015-06-27,0.00 ,0.00 ,0.00 ,78.79 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,77.54 ,78.79 ,0.00 
2015-06-30,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,224.57 ,224.57 ,0.00 ,0.00 ,0.00 ,0.00 
2015-07-03,0.00 ,0.00 ,92.85 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,82.37 
2015-07-04,0.00 ,0.00 ,0.00 ,76.91 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,72.00 ,76.91 ,0.00 
2015-07-10,0.00 ,0.00 ,90.87 ,0.00 ,0.00 ,0.00 ,313.68 ,193.23 ,222.15 ,222.15 ,122.31 ,0.00 ,0.00 ,81.87 
2015-07-11,0.00 ,0.00 ,0.00 ,78.16 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,70.94 ,78.16 ,0.00 
2015-07-17,0.00 ,0.00 ,88.33 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,77.47 
2015-07-18,0.00 ,0.00 ,0.00 ,75.70 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,70.94 ,75.70 ,0.00 
2015-07-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,299.52 ,183.25 ,211.00 ,211.00 ,125.54 ,0.00 ,0.00 ,0.00 
2015-07-24,0.00 ,0.00 ,88.74 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,78.53 
2015-07-25,0.00 ,0.00 ,0.00 ,78.22 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,71.63 ,78.22 ,0.00 
2015-07-31,0.00 ,0.00 ,88.15 ,80.10 ,0.00 ,0.00 ,308.18 ,185.84 ,203.63 ,203.63 ,0.00 ,74.12 ,80.10 ,79.72 
2015-08-07,0.00 ,0.00 ,88.79 ,82.42 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,76.73 ,82.42 ,79.68 
2015-08-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,298.18 ,185.41 ,210.30 ,210.30 ,122.40 ,0.00 ,0.00 ,0.00 
