Wind,,,,,,,,,,,,,,
Name,Output: Natural Crude Oil: YTD,Quantity of Imports: Crude Oil: YTD,China: Volume of Imports: Finished Oil Products (The Customs' Statistical Standard): YTD,China: Volume of Exports: Finished Oil Products (The Customs' Statistical Standard): YTD,China: Volume of Imports: Natural Gas: YTD,China: Output: Natural Gas: YTD,China: Output: Processing of Petroleum: YTD,China: Output: Raw Coal: Total: YTD,China: Quantity of Imports: Coal and Lignite,China: Output: Gasoline: YTD,China: Output: Diesel Oil: YTD,China: Output: Kerosene: YTD,,
Frequency,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,,
Unit,10000 tons,10000 tons,10000 tons,10000 tons,100 million m³,100 million m³,ton,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,,
ID,S0027037,S0027236,S0027242,S0027245,S5426748,S0027041,S0073134,S5117148,S0173743,S0027045,S0027049,S0027053,,
Time Period,1989-02:2024-09,1995-01:2024-09,2003-07:2024-09,2003-07:2024-09,1995-01:2024-08,1989-01:2024-09,1989-01:2024-09,1989-01:2024-09,1995-01:2024-09,1989-02:2024-08,1989-02:2024-08,1989-02:2024-08,,
Source,National Bureau of Statistics of China,China Customs,China Customs,China Customs,China Customs,National Bureau of Statistics of China,National Bureau of Statistics of China,According to the Press Finishing,China Customs,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,,
Update,2024-10-18,2024-10-18,2024-10-18,2024-10-18,2024-09-25,2024-10-18,2024-10-18,2024-10-21,2024-10-18,2024-09-19,2024-09-19,2024-09-19,,
1989-01,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,12.01 ,"8,457,000.00 ","7,436.00 ",0.00 ,0.00 ,0.00 ,0.00 ,,
1989-02,"2,187.40 ",0.00 ,0.00 ,0.00 ,0.00 ,24.41 ,"16,912,000.00 ","13,281.00 ",0.00 ,345.20 ,404.50 ,64.80 ,,
1989-03,"3,340.40 ",0.00 ,0.00 ,0.00 ,0.00 ,35.64 ,"25,631,000.00 ","21,698.00 ",0.00 ,490.60 ,607.90 ,100.80 ,,
1989-04,"4,449.30 ",0.00 ,0.00 ,0.00 ,0.00 ,48.54 ,"33,741,000.00 ","30,309.00 ",0.00 ,642.10 ,806.60 ,132.60 ,,
1989-05,"5,604.20 ",0.00 ,0.00 ,0.00 ,0.00 ,61.44 ,"42,648,000.00 ","39,246.00 ",0.00 ,801.90 ,"1,021.40 ",164.50 ,,
1989-06,"6,728.50 ",0.00 ,0.00 ,0.00 ,0.00 ,74.37 ,"51,587,000.00 ","48,776.00 ",0.00 ,967.70 ,"1,243.60 ",198.10 ,,
1989-07,"7,891.10 ",0.00 ,0.00 ,0.00 ,0.00 ,86.94 ,"60,741,000.00 ","57,232.00 ",0.00 ,"1,143.70 ","1,464.70 ",232.30 ,,
1989-08,"9,066.90 ",0.00 ,0.00 ,0.00 ,0.00 ,99.95 ,"70,193,000.00 ","66,119.00 ",0.00 ,"1,324.90 ","1,697.40 ",269.20 ,,
1989-09,"10,204.00 ",0.00 ,0.00 ,0.00 ,0.00 ,112.42 ,"79,198,000.00 ","74,862.00 ",0.00 ,"1,499.30 ","1,917.50 ",300.60 ,,
1989-10,"11,400.60 ",0.00 ,0.00 ,0.00 ,0.00 ,123.95 ,"88,399,000.00 ","81,636.00 ",0.00 ,"1,678.20 ","2,130.20 ",333.90 ,,
1989-11,"12,599.60 ",0.00 ,0.00 ,0.00 ,0.00 ,136.37 ,"97,911,000.00 ","92,508.00 ",0.00 ,"1,869.40 ","2,356.00 ",368.30 ,,
1989-12,"13,745.10 ",0.00 ,0.00 ,0.00 ,0.00 ,149.42 ,"107,170,000.00 ","102,557.00 ",0.00 ,"2,055.80 ","2,569.20 ",395.20 ,,
1990-01,"1,152.80 ",0.00 ,0.00 ,0.00 ,0.00 ,12.82 ,"9,267,000.00 ","7,168.00 ",0.00 ,188.20 ,215.50 ,31.00 ,,
1990-02,"2,229.50 ",0.00 ,0.00 ,0.00 ,0.00 ,24.55 ,"18,455,000.00 ","14,187.00 ",0.00 ,365.10 ,447.30 ,56.60 ,,
1990-03,"3,403.40 ",0.00 ,0.00 ,0.00 ,0.00 ,37.42 ,"28,309,000.00 ","23,007.00 ",0.00 ,556.50 ,729.10 ,92.20 ,,
1990-04,"4,508.10 ",0.00 ,0.00 ,0.00 ,0.00 ,49.67 ,"37,411,000.00 ","32,773.00 ",0.00 ,740.60 ,981.30 ,128.70 ,,
1990-05,"5,676.10 ",0.00 ,0.00 ,0.00 ,0.00 ,62.69 ,"46,612,000.00 ","42,117.00 ",0.00 ,921.40 ,"1,229.80 ",168.00 ,,
1990-06,"6,815.10 ",0.00 ,0.00 ,0.00 ,0.00 ,75.60 ,"55,593,000.00 ","51,758.00 ",0.00 ,"1,099.50 ","1,527.20 ",202.80 ,,
1990-07,"7,971.10 ",0.00 ,0.00 ,0.00 ,0.00 ,88.50 ,"65,230,000.00 ","60,294.00 ",0.00 ,"1,287.70 ","2,029.20 ",242.20 ,,
1990-08,"9,140.70 ",0.00 ,0.00 ,0.00 ,0.00 ,101.10 ,"74,636,000.00 ","68,870.00 ",0.00 ,"1,476.80 ","2,264.80 ",276.50 ,,
1990-09,"10,283.00 ",0.00 ,0.00 ,0.00 ,0.00 ,113.39 ,"83,508,000.00 ","77,390.00 ",0.00 ,"1,659.70 ","1,985.40 ",306.20 ,,
1990-10,"11,465.70 ",0.00 ,0.00 ,0.00 ,0.00 ,126.40 ,"92,770,000.00 ","86,207.00 ",0.00 ,"1,838.20 ","2,198.50 ",336.30 ,,
1990-11,"12,622.40 ",0.00 ,0.00 ,0.00 ,0.00 ,139.40 ,"101,885,000.00 ","95,379.00 ",0.00 ,"2,024.70 ","2,410.40 ",362.20 ,,
1990-12,"13,810.20 ",0.00 ,0.00 ,0.00 ,0.00 ,152.06 ,"110,601,000.00 ","105,346.00 ",0.00 ,"2,166.00 ","2,594.70 ",384.50 ,,
1991-01,"1,172.80 ",0.00 ,0.00 ,0.00 ,0.00 ,13.09 ,"9,068,000.00 ","8,302.00 ",0.00 ,194.40 ,223.20 ,32.60 ,,
1991-02,"2,258.60 ",0.00 ,0.00 ,0.00 ,0.00 ,25.58 ,"18,089,000.00 ","14,721.00 ",0.00 ,364.60 ,424.50 ,61.10 ,,
1991-03,"3,439.00 ",0.00 ,0.00 ,0.00 ,0.00 ,38.58 ,"27,938,000.00 ","23,347.00 ",0.00 ,561.60 ,661.30 ,96.20 ,,
1991-04,"4,584.80 ",0.00 ,0.00 ,0.00 ,0.00 ,51.03 ,"36,504,000.00 ","32,405.00 ",0.00 ,732.00 ,861.80 ,126.40 ,,
1991-05,"5,772.10 ",0.00 ,0.00 ,0.00 ,0.00 ,64.26 ,"45,880,000.00 ","41,809.00 ",0.00 ,918.10 ,"1,088.70 ",158.80 ,,
1991-06,"6,922.60 ",0.00 ,0.00 ,0.00 ,0.00 ,77.26 ,"55,552,000.00 ","51,374.00 ",0.00 ,"1,116.20 ","1,334.90 ",196.00 ,,
1991-07,"8,097.70 ",0.00 ,0.00 ,0.00 ,0.00 ,90.11 ,"65,462,000.00 ","59,905.00 ",0.00 ,"1,327.90 ","1,588.80 ",231.80 ,,
1991-08,"9,276.20 ",0.00 ,0.00 ,0.00 ,0.00 ,103.15 ,"75,290,000.00 ","68,451.00 ",0.00 ,"1,528.40 ","1,836.70 ",267.60 ,,
1991-09,"10,432.10 ",0.00 ,0.00 ,0.00 ,0.00 ,115.74 ,"84,760,000.00 ","77,281.00 ",0.00 ,"1,720.90 ","2,070.00 ",301.50 ,,
1991-10,"11,622.50 ",0.00 ,0.00 ,0.00 ,0.00 ,127.83 ,"94,603,000.00 ","84,468.00 ",0.00 ,"1,914.40 ","2,301.60 ",339.40 ,,
1991-11,"12,770.50 ",0.00 ,0.00 ,0.00 ,0.00 ,140.54 ,"105,364,000.00 ","95,900.00 ",0.00 ,"2,154.60 ","2,568.70 ",375.10 ,,
1991-12,"13,956.50 ",0.00 ,0.00 ,0.00 ,0.00 ,153.54 ,"116,146,000.00 ","106,243.00 ",0.00 ,"2,338.70 ","2,791.40 ",398.41 ,,
1992-01,"1,199.40 ",0.00 ,0.00 ,0.00 ,0.00 ,11.95 ,"10,210,000.00 ","8,114.00 ",0.00 ,220.20 ,248.70 ,28.20 ,,
1992-02,"2,044.40 ",0.00 ,0.00 ,0.00 ,0.00 ,25.58 ,"20,444,000.00 ","14,151.00 ",0.00 ,460.80 ,510.90 ,62.80 ,,
1992-03,"3,070.80 ",0.00 ,0.00 ,0.00 ,0.00 ,38.70 ,"30,708,000.00 ","22,816.00 ",0.00 ,684.50 ,784.10 ,99.50 ,,
1992-04,"4,038.50 ",0.00 ,0.00 ,0.00 ,0.00 ,51.70 ,"40,385,000.00 ","31,876.00 ",0.00 ,903.00 ,"1,068.00 ",147.50 ,,
1992-05,"5,910.90 ",0.00 ,0.00 ,0.00 ,0.00 ,64.80 ,"50,511,000.00 ","41,608.00 ",0.00 ,"1,093.30 ","1,282.80 ",177.80 ,,
1992-06,"7,069.40 ",0.00 ,0.00 ,0.00 ,0.00 ,77.70 ,"60,542,000.00 ","51,761.00 ",0.00 ,"1,314.10 ","1,547.30 ",209.50 ,,
1992-07,"8,266.30 ",0.00 ,0.00 ,0.00 ,0.00 ,90.20 ,"71,064,000.00 ","60,971.00 ",0.00 ,"1,535.70 ","1,820.10 ",243.20 ,,
1992-08,"9,458.50 ",0.00 ,0.00 ,0.00 ,0.00 ,103.20 ,"81,821,000.00 ","70,450.00 ",0.00 ,"1,750.20 ","2,081.00 ",279.50 ,,
1992-09,"10,597.00 ",0.00 ,0.00 ,0.00 ,0.00 ,115.80 ,"91,746,000.00 ","77,873.00 ",0.00 ,"1,960.50 ","2,327.70 ",310.00 ,,
1992-10,"11,829.50 ",0.00 ,0.00 ,0.00 ,0.00 ,128.40 ,"102,646,000.00 ","89,239.00 ",0.00 ,"2,205.70 ","2,612.50 ",341.50 ,,
1992-11,"12,995.60 ",0.00 ,0.00 ,0.00 ,0.00 ,141.30 ,"113,366,000.00 ","98,996.00 ",0.00 ,"2,447.00 ","2,883.10 ",371.50 ,,
1992-12,"14,174.70 ",0.00 ,0.00 ,0.00 ,0.00 ,155.10 ,"124,002,000.00 ","109,487.00 ",0.00 ,"2,695.70 ","3,147.10 ",395.90 ,,
1993-01,"1,221.20 ",0.00 ,0.00 ,0.00 ,0.00 ,8.70 ,"10,547,000.00 ","6,768.50 ",0.00 ,250.70 ,260.90 ,32.00 ,,
1993-02,"2,320.10 ",0.00 ,0.00 ,0.00 ,0.00 ,27.20 ,"21,104,000.00 ","14,323.10 ",0.00 ,511.20 ,534.30 ,59.60 ,,
1993-03,"3,563.10 ",0.00 ,0.00 ,0.00 ,0.00 ,41.10 ,"31,992,000.00 ","24,100.10 ",0.00 ,777.50 ,817.30 ,89.30 ,,
1993-04,"4,750.10 ",0.00 ,0.00 ,0.00 ,0.00 ,54.50 ,"42,730,000.00 ","33,859.10 ",0.00 ,"1,036.60 ","1,120.00 ",117.40 ,,
1993-05,"6,044.20 ",0.00 ,0.00 ,0.00 ,0.00 ,67.20 ,"54,373,000.00 ","43,817.20 ",0.00 ,"1,293.10 ","1,419.40 ",151.10 ,,
1993-06,"7,251.10 ",0.00 ,0.00 ,0.00 ,0.00 ,81.00 ,"65,462,000.00 ","54,351.90 ",0.00 ,"1,546.00 ","1,712.70 ",181.80 ,,
1993-07,"8,498.30 ",0.00 ,0.00 ,0.00 ,0.00 ,95.50 ,"76,250,000.00 ","63,993.10 ",0.00 ,"1,802.50 ","1,998.90 ",214.50 ,,
1993-08,"9,612.40 ",0.00 ,0.00 ,0.00 ,0.00 ,109.60 ,"87,664,000.00 ","74,598.20 ",0.00 ,"2,055.20 ","2,304.00 ",244.80 ,,
1993-09,"10,798.40 ",0.00 ,0.00 ,0.00 ,0.00 ,123.10 ,"98,001,000.00 ","82,969.30 ",0.00 ,"2,303.20 ","2,579.20 ",274.20 ,,
1993-10,"12,058.50 ",0.00 ,0.00 ,0.00 ,0.00 ,137.70 ,"109,533,000.00 ","92,503.60 ",0.00 ,"2,570.50 ","2,875.70 ",308.90 ,,
1993-11,"13,265.60 ",0.00 ,0.00 ,0.00 ,0.00 ,151.30 ,"121,077,000.00 ","102,641.50 ",0.00 ,"2,838.90 ","3,170.20 ",343.60 ,,
1993-12,"14,491.50 ",0.00 ,0.00 ,0.00 ,0.00 ,165.60 ,"132,574,000.00 ","114,120.30 ",0.00 ,"3,141.40 ","3,474.60 ",373.30 ,,
1994-01,"1,326.14 ",0.00 ,0.00 ,0.00 ,0.00 ,14.85 ,"10,966,000.00 ",0.00 ,0.00 ,231.57 ,259.84 ,34.40 ,,
1994-02,"2,428.68 ",0.00 ,0.00 ,0.00 ,0.00 ,27.02 ,"21,152,500.00 ",0.00 ,0.00 ,452.40 ,514.50 ,71.89 ,,
1994-03,"3,649.95 ",0.00 ,0.00 ,0.00 ,0.00 ,41.28 ,"32,701,300.00 ",0.00 ,0.00 ,707.45 ,802.31 ,115.41 ,,
1994-04,"4,839.27 ",0.00 ,0.00 ,0.00 ,0.00 ,55.12 ,"43,841,600.00 ",0.00 ,0.00 ,979.03 ,"1,114.68 ",153.89 ,,
1994-05,"6,096.81 ",0.00 ,0.00 ,0.00 ,0.00 ,69.28 ,"54,669,600.00 ",0.00 ,0.00 ,"1,204.72 ","1,399.27 ",190.93 ,,
1994-06,"7,317.69 ",0.00 ,0.00 ,0.00 ,0.00 ,82.98 ,"65,718,600.00 ",0.00 ,0.00 ,"1,440.07 ","1,698.96 ",228.50 ,,
1994-07,"8,573.34 ",0.00 ,0.00 ,0.00 ,0.00 ,97.65 ,"77,290,200.00 ",0.00 ,0.00 ,"1,676.36 ","2,001.82 ",267.49 ,,
1994-08,"9,812.65 ",0.00 ,0.00 ,0.00 ,0.00 ,111.34 ,"88,224,700.00 ",0.00 ,0.00 ,"1,893.97 ","2,300.53 ",305.77 ,,
1994-09,"10,991.86 ",0.00 ,0.00 ,0.00 ,0.00 ,124.84 ,"98,002,100.00 ",0.00 ,0.00 ,"2,107.43 ","2,568.23 ",334.77 ,,
1994-10,"12,251.06 ",0.00 ,0.00 ,0.00 ,0.00 ,139.23 ,"109,158,600.00 ",0.00 ,0.00 ,"2,347.32 ","2,864.69 ",368.17 ,,
1994-11,"13,501.48 ",0.00 ,0.00 ,0.00 ,0.00 ,153.94 ,"120,337,500.00 ",0.00 ,0.00 ,"2,588.04 ","3,150.71 ",400.64 ,,
1994-12,"14,764.72 ",0.00 ,0.00 ,0.00 ,0.00 ,169.72 ,"132,041,300.00 ",0.00 ,0.00 ,"2,840.63 ","3,424.37 ",433.42 ,,
1995-01,"1,236.29 ",36.36 ,0.00 ,0.00 ,0.00 ,13.32 ,"11,468,000.00 ","8,624.00 ",14.60 ,244.63 ,293.50 ,35.24 ,,
1995-02,"2,399.73 ",65.16 ,0.00 ,0.00 ,0.00 ,27.58 ,"22,513,000.00 ","16,614.40 ",0.89 ,487.87 ,582.74 ,66.83 ,,
1995-03,"3,686.95 ",245.07 ,0.00 ,0.00 ,0.07 ,42.31 ,"34,782,000.00 ","27,532.20 ",24.74 ,751.65 ,913.83 ,98.49 ,,
1995-04,"4,830.53 ",345.56 ,0.00 ,0.00 ,0.12 ,56.90 ,"45,829,000.00 ","38,690.50 ",7.07 ,984.38 ,"1,236.07 ",131.31 ,,
1995-05,"6,071.34 ",552.89 ,0.00 ,0.00 ,0.16 ,71.01 ,"57,154,000.00 ","50,150.60 ",5.70 ,"1,201.71 ","1,533.69 ",166.70 ,,
1995-06,"7,312.45 ",697.11 ,0.00 ,0.00 ,0.16 ,85.43 ,"69,022,000.00 ","62,209.10 ",15.90 ,"1,440.92 ","1,852.77 ",201.44 ,,
1995-07,"8,587.68 ",794.94 ,0.00 ,0.00 ,0.16 ,99.87 ,"82,613,000.00 ","72,945.30 ",2.03 ,"1,698.03 ","2,199.10 ",239.13 ,,
1995-08,"9,867.09 ",887.52 ,0.00 ,0.00 ,0.16 ,113.68 ,"94,728,000.00 ","83,190.50 ",12.53 ,"1,949.13 ","2,534.04 ",279.62 ,,
1995-09,"11,126.09 ","1,128.65 ",0.00 ,0.00 ,0.18 ,127.85 ,"105,082,000.00 ","93,795.00 ",5.62 ,"2,199.12 ","2,858.50 ",318.99 ,,
1995-10,"12,435.20 ","1,281.39 ",0.00 ,0.00 ,0.18 ,142.61 ,"117,387,000.00 ","104,945.50 ",19.11 ,"2,472.72 ","3,211.01 ",357.96 ,,
1995-11,"13,693.50 ","1,449.06 ",0.00 ,0.00 ,0.19 ,157.06 ,"129,898,000.00 ","116,163.50 ",30.54 ,"2,755.86 ","3,555.37 ",398.71 ,,
1995-12,"14,901.96 ","1,709.00 ",0.00 ,0.00 ,0.19 ,171.97 ,"142,697,000.00 ","129,232.00 ",24.78 ,"3,029.14 ","3,889.89 ",435.32 ,,
1996-01,"1,271.51 ",144.00 ,0.00 ,0.00 ,0.00 ,14.62 ,"12,341,000.00 ",0.00 ,0.00 ,284.27 ,336.92 ,37.39 ,,
1996-02,"2,542.34 ",289.00 ,0.00 ,0.00 ,0.00 ,32.24 ,"24,900,100.00 ",0.00 ,0.00 ,568.22 ,676.44 ,77.87 ,,
1996-03,"3,888.36 ",491.00 ,0.00 ,0.00 ,0.00 ,48.93 ,"37,552,600.00 ",0.00 ,0.00 ,847.42 ,"1,049.43 ",116.65 ,,
1996-04,"5,155.46 ",707.00 ,0.00 ,0.00 ,0.00 ,64.92 ,"49,597,500.00 ",0.00 ,0.00 ,"1,116.16 ","1,397.28 ",158.09 ,,
1996-05,"6,508.03 ",876.00 ,0.00 ,0.00 ,0.00 ,81.02 ,"62,076,100.00 ",0.00 ,0.00 ,"1,383.09 ","1,753.02 ",207.18 ,,
1996-06,"7,831.61 ","1,086.00 ",0.00 ,0.00 ,0.00 ,97.06 ,"74,545,400.00 ",0.00 ,0.00 ,"1,640.02 ","2,120.15 ",257.30 ,,
1996-07,"9,190.73 ","1,242.00 ",0.00 ,0.00 ,0.00 ,113.01 ,"87,831,400.00 ",0.00 ,0.00 ,"1,915.60 ","2,515.49 ",297.32 ,,
1996-08,"10,521.27 ","1,430.00 ",0.00 ,0.00 ,0.00 ,131.30 ,"100,589,900.00 ",0.00 ,0.00 ,"2,189.03 ","2,898.65 ",343.02 ,,
1996-09,"11,818.27 ","1,568.00 ",0.00 ,0.00 ,0.00 ,147.81 ,"112,462,300.00 ",0.00 ,0.00 ,"2,433.77 ","3,258.74 ",388.04 ,,
1996-10,"13,189.54 ","1,841.00 ",0.00 ,0.00 ,0.00 ,164.95 ,"125,116,500.00 ",0.00 ,0.00 ,"2,697.93 ","3,618.99 ",436.75 ,,
1996-11,"14,523.18 ","2,053.00 ",0.00 ,0.00 ,0.00 ,182.16 ,"137,514,300.00 ",0.00 ,0.00 ,"2,951.04 ","3,970.14 ",482.99 ,,
1996-12,"15,851.81 ","2,262.00 ",0.00 ,0.00 ,0.00 ,199.04 ,"150,394,800.00 ",0.00 ,0.00 ,"3,230.77 ","4,325.39 ",529.18 ,,
1997-01,"1,374.46 ",156.61 ,0.00 ,0.00 ,0.48 ,18.21 ,"14,166,000.00 ","10,932.80 ",17.67 ,280.32 ,384.24 ,42.33 ,,
1997-02,"2,614.32 ",397.65 ,0.00 ,0.00 ,0.79 ,36.00 ,"26,101,000.00 ","18,900.40 ",7.07 ,530.24 ,740.67 ,102.04 ,,
1997-03,"4,000.52 ",728.03 ,0.00 ,0.00 ,0.94 ,61.16 ,"39,872,000.00 ","30,989.00 ",5.33 ,805.87 ,"1,163.82 ",126.12 ,,
1997-04,"5,348.96 ",990.52 ,0.00 ,0.00 ,0.95 ,82.25 ,"52,411,000.00 ","42,886.20 ",3.45 ,"1,072.14 ","1,544.43 ",171.34 ,,
1997-05,"6,738.15 ","1,170.91 ",0.00 ,0.00 ,1.19 ,99.33 ,"66,111,000.00 ","55,070.30 ",20.41 ,"1,334.44 ","1,948.19 ",217.64 ,,
1997-06,"8,082.15 ","1,442.17 ",0.00 ,0.00 ,1.29 ,118.72 ,"80,735,000.00 ","67,577.20 ",13.71 ,"1,623.13 ","2,374.87 ",265.24 ,,
1997-07,"9,461.58 ","1,770.73 ",0.00 ,0.00 ,1.31 ,138.67 ,"94,165,000.00 ","78,561.60 ",27.14 ,"1,911.36 ","2,803.05 ",310.98 ,,
1997-08,"10,819.00 ","2,112.89 ",0.00 ,0.00 ,1.37 ,158.74 ,"108,046,000.00 ","89,802.40 ",18.46 ,"2,204.10 ","3,212.30 ",361.30 ,,
1997-09,"12,156.34 ","2,408.75 ",0.00 ,0.00 ,1.42 ,178.86 ,"121,901,000.00 ","100,768.50 ",19.63 ,"2,502.47 ","3,609.91 ",415.32 ,,
1997-10,"13,531.38 ","2,711.17 ",0.00 ,0.00 ,1.44 ,200.04 ,"136,493,000.00 ","112,035.10 ",3.96 ,"2,829.35 ","4,022.74 ",472.10 ,,
1997-11,"14,856.67 ","3,057.39 ",0.00 ,0.00 ,1.47 ,222.03 ,"151,172,000.00 ","123,887.70 ",33.39 ,"3,162.84 ","4,441.65 ",523.81 ,,
1997-12,"16,209.91 ","3,547.15 ",0.00 ,0.00 ,1.51 ,245.00 ,"165,840,000.00 ","135,615.70 ",30.14 ,"3,482.51 ","4,853.24 ",573.69 ,,
1998-01,"1,370.84 ",151.85 ,0.00 ,0.00 ,0.02 ,19.07 ,"13,285,000.00 ","7,248.70 ",7.75 ,272.08 ,348.08 ,48.25 ,,
1998-02,"2,525.51 ",494.14 ,0.00 ,0.00 ,0.02 ,36.80 ,"25,463,000.00 ","13,475.20 ",4.41 ,530.00 ,665.61 ,99.69 ,,
1998-03,"3,944.91 ",805.40 ,0.00 ,0.00 ,0.02 ,56.43 ,"39,429,000.00 ","23,129.30 ",6.38 ,819.15 ,"1,056.31 ",154.71 ,,
1998-04,"5,232.44 ","1,112.02 ",0.00 ,0.00 ,0.06 ,74.75 ,"53,190,000.00 ","32,967.20 ",6.21 ,"1,090.83 ","1,412.85 ",206.84 ,,
1998-05,"6,589.08 ","1,304.35 ",0.00 ,0.00 ,0.06 ,90.83 ,"66,959,000.00 ","43,417.70 ",13.02 ,"1,358.33 ","1,793.79 ",260.62 ,,
1998-06,"7,930.23 ","1,602.09 ",0.00 ,0.00 ,0.06 ,107.42 ,"81,110,000.00 ","53,970.70 ",7.53 ,"1,639.20 ","2,198.94 ",311.55 ,,
1998-07,"9,296.50 ","1,856.73 ",0.00 ,0.00 ,0.09 ,124.81 ,"96,084,900.00 ","63,622.50 ",13.59 ,"1,952.50 ","2,642.06 ",359.08 ,,
1998-08,"10,646.30 ","2,081.53 ",0.00 ,0.00 ,0.11 ,141.38 ,"108,332,500.00 ","72,033.90 ",28.11 ,"2,257.87 ","3,047.93 ",406.54 ,,
1998-09,"11,964.12 ","2,297.13 ",0.00 ,0.00 ,0.21 ,159.26 ,"120,594,100.00 ","81,577.30 ",17.35 ,"2,515.96 ","3,445.05 ",456.86 ,,
1998-10,"13,325.69 ","2,413.87 ",0.00 ,0.00 ,0.37 ,178.43 ,"134,433,100.00 ","91,859.80 ",21.32 ,"2,809.55 ","3,890.68 ",511.41 ,,
1998-11,"14,676.06 ","2,550.89 ",0.00 ,0.00 ,0.42 ,198.16 ,"148,754,700.00 ","103,141.60 ",13.45 ,"3,133.38 ","4,371.93 ",567.95 ,,
1998-12,"16,260.33 ","2,680.17 ",0.00 ,0.00 ,0.58 ,222.97 ,"165,702,900.00 ","123,555.10 ",19.10 ,"3,465.40 ","4,884.11 ",574.89 ,,
1999-01,"1,363.47 ",130.89 ,0.00 ,0.00 ,0.00 ,20.05 ,"14,795,000.00 ","8,348.50 ",22.57 ,319.35 ,483.30 ,43.30 ,,
1999-02,"2,596.32 ",297.94 ,0.00 ,0.00 ,0.08 ,39.02 ,"28,535,000.00 ","14,345.60 ",3.75 ,603.76 ,951.00 ,95.90 ,,
1999-03,"3,952.46 ",731.19 ,0.00 ,0.00 ,0.13 ,60.31 ,"43,076,000.00 ","22,611.60 ",18.73 ,905.46 ,"1,481.10 ",147.26 ,,
1999-04,"5,272.35 ","1,024.10 ",0.00 ,0.00 ,0.13 ,78.51 ,"57,915,000.00 ","32,156.90 ",0.12 ,"1,207.95 ","2,006.86 ",208.29 ,,
1999-05,"6,639.61 ","1,332.79 ",0.00 ,0.00 ,0.13 ,100.17 ,"72,622,000.00 ","38,803.20 ",14.54 ,"1,506.27 ","2,550.36 ",262.04 ,,
1999-06,"7,962.14 ","1,631.05 ",0.00 ,0.00 ,0.13 ,120.00 ,"88,065,000.00 ","47,153.60 ",21.70 ,"1,799.20 ","3,089.22 ",326.48 ,,
1999-07,"9,336.95 ","1,862.57 ",0.00 ,0.00 ,0.13 ,140.35 ,"102,836,000.00 ","54,687.70 ",15.50 ,"2,105.42 ","3,624.05 ",390.93 ,,
1999-08,"10,698.64 ","2,281.75 ",0.00 ,0.00 ,0.13 ,160.56 ,"118,606,000.00 ","62,381.30 ",17.18 ,"2,415.13 ","4,168.59 ",461.82 ,,
1999-09,"11,985.80 ","2,710.38 ",0.00 ,0.00 ,0.13 ,180.72 ,"133,542,000.00 ","70,214.60 ",19.30 ,"2,708.28 ","4,684.66 ",529.01 ,,
1999-10,"13,325.76 ","2,918.81 ",0.00 ,0.00 ,0.13 ,201.36 ,"149,622,000.00 ","78,407.40 ",19.10 ,"3,021.78 ","5,212.23 ",606.18 ,,
1999-11,"14,664.16 ","3,286.11 ",0.00 ,0.00 ,0.13 ,223.84 ,"166,162,000.00 ","86,666.20 ",1.44 ,"3,359.66 ","5,739.86 ",670.21 ,,
1999-12,"16,021.54 ","3,661.37 ",0.00 ,0.00 ,0.13 ,251.98 ,"183,566,000.00 ","97,780.60 ",13.36 ,"3,741.27 ","6,302.68 ",719.46 ,,
2000-01,"1,346.52 ",450.48 ,0.00 ,0.00 ,0.00 ,24.40 ,"16,176,900.00 ","6,614.00 ",15.50 ,330.01 ,532.52 ,52.55 ,,
2000-02,"2,677.61 ","1,032.50 ",0.00 ,0.00 ,0.00 ,48.25 ,"32,927,200.00 ","10,763.90 ",14.29 ,674.96 ,"1,055.88 ",113.48 ,,
2000-03,"4,082.28 ","1,711.59 ",0.00 ,0.00 ,0.00 ,69.72 ,"51,679,400.00 ","18,423.40 ",17.92 ,"1,046.97 ","1,694.87 ",205.46 ,,
2000-04,"5,420.84 ","2,271.75 ",0.00 ,0.00 ,0.00 ,90.58 ,"68,726,000.00 ","25,400.60 ",17.65 ,"1,352.49 ","2,273.65 ",283.30 ,,
2000-05,"6,791.93 ","2,697.14 ",0.00 ,0.00 ,0.02 ,112.13 ,"86,239,000.00 ","32,828.70 ",20.52 ,"1,682.10 ","2,853.48 ",358.82 ,,
2000-06,"8,109.79 ","3,241.11 ",0.00 ,0.00 ,0.02 ,134.23 ,"104,066,000.00 ","40,337.10 ",14.98 ,"2,042.85 ","3,432.05 ",437.63 ,,
2000-07,"9,475.58 ","3,799.25 ",0.00 ,0.00 ,0.03 ,155.25 ,"121,598,000.00 ","47,436.30 ",19.93 ,"2,380.47 ","4,034.57 ",511.06 ,,
2000-08,"10,830.80 ","4,524.87 ",0.00 ,0.00 ,0.03 ,176.95 ,"140,369,000.00 ","54,453.70 ",6.37 ,"2,747.70 ","4,688.26 ",583.05 ,,
2000-09,"12,167.02 ","5,202.18 ",0.00 ,0.00 ,0.03 ,198.61 ,"158,109,000.00 ","61,626.70 ",25.41 ,"3,096.28 ","5,292.38 ",655.44 ,,
2000-10,"13,543.55 ","5,793.91 ",0.00 ,0.00 ,0.03 ,220.87 ,"175,731,000.00 ","68,856.20 ",15.05 ,"3,440.75 ","5,920.86 ",727.93 ,,
