station_code,station_name,ProvinceZH,CityZH,Lon,Lat,对照点,Fenwei,Province,CityEN,designation,YRD,PRD,keyregion,GADM_ID_2,CityID,CityGADM,NAME_2,keyregion2018
2277A,潘集区政府,安徽,淮南,116.8028,32.7639,N,FALSE,Anhui,Huainan,neighbor2,FALSE,FALSE,none,10,188,10,Huainan,
2276A,大通区政府（已停运）,安徽,淮南,117.0417,32.6611,Y,FALSE,Anhui,Huainan,neighbor2,FALSE,FALSE,none,10,188,10,Huainan,
2275A,高新区,安徽,蚌埠,117.3065,32.8985,N,FALSE,Anhui,Bengbu,neighbor2,FALSE,FALSE,none,2,360,2,Bengbu,
2274A,淮上区政府,安徽,蚌埠,117.3536,32.9673,N,FALSE,Anhui,Bengbu,neighbor2,FALSE,FALSE,none,2,360,2,Bengbu,
2273A,蚌埠学院,安徽,蚌埠,117.4186,32.8913,N,FALSE,Anhui,Bengbu,neighbor2,FALSE,FALSE,none,2,360,2,Bengbu,
2272A,二水厂(停运200430),安徽,蚌埠,117.3086,32.935,Y,FALSE,Anhui,Bengbu,neighbor2,FALSE,FALSE,none,2,360,2,Bengbu,
2271A,百货大楼,安徽,蚌埠,117.3605,32.9427,N,FALSE,Anhui,Bengbu,neighbor2,FALSE,FALSE,none,2,360,2,Bengbu,
2270A,工人疗养院,安徽,蚌埠,117.3961,32.939,N,FALSE,Anhui,Bengbu,neighbor2,FALSE,FALSE,none,2,360,2,Bengbu,
2267A,党政办公中心,黑龙江,绥化,126.9636,46.6527,N,FALSE,Heilongjiang,Suihua,none,FALSE,FALSE,none,112,245,112,Suihua,
2266A,人和东街,黑龙江,绥化,126.9934,46.6384,N,FALSE,Heilongjiang,Suihua,none,FALSE,FALSE,none,112,245,112,Suihua,
2265A,地震局,黑龙江,黑河,127.4143,50.2538,Y,FALSE,Heilongjiang,Heihe,none,FALSE,FALSE,none,105,311,105,Heihe,
2264A,党校,黑龙江,黑河,127.5044,50.2391,N,FALSE,Heilongjiang,Heihe,none,FALSE,FALSE,none,105,311,105,Heihe,
2263A,交通局,黑龙江,黑河,127.4961,50.2486,N,FALSE,Heilongjiang,Heihe,none,FALSE,FALSE,none,105,311,105,Heihe,
2262A,葫头沟(对照点),黑龙江,七台河,130.9467,45.8309,Y,FALSE,Heilongjiang,Qitaihe,none,FALSE,FALSE,none,110,24,110,Qitaihe,
2261A,新建(停运200107),黑龙江,七台河,130.8625,45.8194,Y,FALSE,Heilongjiang,Qitaihe,none,FALSE,FALSE,none,110,24,110,Qitaihe,
2335A,龙岩师专,福建,龙岩,117.0181,25.1174,Y,FALSE,Fujian,Longyan,none,FALSE,FALSE,none,21,349,21,Longyan,
2233A,江南,吉林,松原,124.8292,45.0878,N,FALSE,Jilin,Songyuan,none,FALSE,FALSE,none,193,194,193,Songyuan,
2336A,龙岩市监测站,福建,龙岩,117.0216,25.1035,N,FALSE,Fujian,Longyan,none,FALSE,FALSE,none,21,349,21,Longyan,
2338A,龙岩学院,福建,龙岩,117.0151,25.0311,N,FALSE,Fujian,Longyan,none,FALSE,FALSE,none,21,349,21,Longyan,
2407A,理工学院,河南,南阳,112.5481,32.9689,N,FALSE,Henan,Nanyang,neighbor2,FALSE,FALSE,none,121,91,121,Nanyang,
2406A,气象站,河南,南阳,112.5573,33.027,N,FALSE,Henan,Nanyang,neighbor2,FALSE,FALSE,none,121,91,121,Nanyang,
2405A,汉画馆,河南,南阳,112.5003,32.9735,N,FALSE,Henan,Nanyang,neighbor2,FALSE,FALSE,none,121,91,121,Nanyang,
2404A,瓦房庄,河南,南阳,112.5224,33.0122,N,FALSE,Henan,Nanyang,neighbor2,FALSE,FALSE,none,121,91,121,Nanyang,
2403A,环保局,河南,南阳,112.5192,32.9917,N,FALSE,Henan,Nanyang,neighbor2,FALSE,FALSE,none,121,91,121,Nanyang,
2402A,广电局,河南,漯河,114.0322,33.5653,N,FALSE,Henan,Luohe,neighbor2,FALSE,FALSE,none,119,197,119,Luohe,
2401A,水利局,河南,漯河,114.014,33.581,N,FALSE,Henan,Luohe,neighbor2,FALSE,FALSE,none,119,197,119,Luohe,
2400A,漯河大学,河南,漯河,114.005,33.568,N,FALSE,Henan,Luohe,neighbor2,FALSE,FALSE,none,119,197,119,Luohe,
2399A,三五一五工厂,河南,漯河,114.056,33.567,N,FALSE,Henan,Luohe,neighbor2,FALSE,FALSE,none,119,197,119,Luohe,
2408A,环境监测站,河南,商丘,115.6697,34.4286,N,FALSE,Henan,Shangqiu,neighbor1,FALSE,FALSE,none,125,84,125,Shangqiu,
2398A,开发区,河南,许昌,113.7906,33.9953,N,FALSE,Henan,Xuchang,neighbor1,FALSE,FALSE,none,128,321,128,Xuchang,
2396A,监测站,河南,许昌,113.8331,34.0117,N,FALSE,Henan,Xuchang,neighbor1,FALSE,FALSE,none,128,321,128,Xuchang,
2395A,油田物探公司,河南,濮阳,115.0772,35.767,N,FALSE,Henan,Puyang,26+2,FALSE,FALSE,none,123,152,123,Puyang,2+26
2394A,油田运输公司,河南,濮阳,115.0628,35.7672,N,FALSE,Henan,Puyang,26+2,FALSE,FALSE,none,123,152,123,Puyang,2+26
2393A,紭天威,河南,濮阳,114.9906,35.767,Y,FALSE,Henan,Puyang,26+2,FALSE,FALSE,none,123,152,123,Puyang,2+26
2392A,环保局,河南,濮阳,115.031,35.763,N,FALSE,Henan,Puyang,26+2,FALSE,FALSE,none,123,152,123,Puyang,2+26
2391A,环保东院,河南,新乡,113.883,35.303,N,FALSE,Henan,Xinxiang,26+2,FALSE,FALSE,none,126,135,126,Xinxiang,2+26
2390A,开发区,河南,新乡,113.884,35.272,N,FALSE,Henan,Xinxiang,26+2,FALSE,FALSE,none,126,135,126,Xinxiang,2+26
2389A,环保西院,河南,新乡,113.836,35.31,N,FALSE,Henan,Xinxiang,26+2,FALSE,FALSE,none,126,135,126,Xinxiang,2+26
2388A,科技学院,河南,新乡,113.926,35.279,N,FALSE,Henan,Xinxiang,26+2,FALSE,FALSE,none,126,135,126,Xinxiang,2+26
2397A,环保局,河南,许昌,113.8208,34.0314,N,FALSE,Henan,Xuchang,neighbor1,FALSE,FALSE,none,128,321,128,Xuchang,
2387A,迎宾馆,河南,鹤壁,114.2878,35.7306,N,FALSE,Henan,Hebi,26+2,FALSE,FALSE,none,115,350,115,Hebi,2+26
2409A,粮食局,河南,商丘,115.6558,34.429,N,FALSE,Henan,Shangqiu,neighbor1,FALSE,FALSE,none,125,84,125,Shangqiu,
2411A,第三人民医院(20190220停运),河南,商丘,115.6578,34.402,Y,FALSE,Henan,Shangqiu,neighbor1,FALSE,FALSE,none,125,84,125,Shangqiu,
2443A,文化路,湖北,孝感,113.9153,30.9285,N,FALSE,Hubei,Xiaogan,neighbor2,FALSE,FALSE,none,147,104,147,Xiaogan,
2442A,市政府,湖北,荆门,112.1931,31.0375,Y,FALSE,Hubei,Jingmen,neighbor2,FALSE,FALSE,none,136,341,136,Jingmen,
2441A,石化一小,湖北,荆门,112.2211,31.0386,N,FALSE,Hubei,Jingmen,neighbor2,FALSE,FALSE,none,136,341,136,Jingmen,
2440A,掇刀,湖北,荆门,112.1969,30.9892,N,FALSE,Hubei,Jingmen,neighbor2,FALSE,FALSE,none,136,341,136,Jingmen,
2439A,竹园小学,湖北,荆门,112.2014,31.0483,N,FALSE,Hubei,Jingmen,neighbor2,FALSE,FALSE,none,136,341,136,Jingmen,
2438A,凡口开发区,湖北,鄂州,114.8131,30.4133,N,FALSE,Hubei,Ezhou,neighbor2,FALSE,FALSE,none,133,302,133,Ezhou,
2437A,赵家坝,湖北,鄂州,114.8989,30.3714,N,FALSE,Hubei,Ezhou,neighbor2,FALSE,FALSE,none,133,302,133,Ezhou,
2436A,市政府,湖北,鄂州,114.8878,30.3944,N,FALSE,Hubei,Ezhou,neighbor2,FALSE,FALSE,none,133,302,133,Ezhou,
2431A,铁二处,湖北,十堰,110.8839,32.5714,N,FALSE,Hubei,Shiyan,neighbor2,FALSE,FALSE,none,140,101,140,Shiyan,
2410A,睢阳区环保局,河南,商丘,115.6386,34.407,N,FALSE,Henan,Shangqiu,neighbor1,FALSE,FALSE,none,125,84,125,Shangqiu,
2430A,刘家沟,湖北,十堰,110.7258,32.6389,N,FALSE,Hubei,Shiyan,neighbor2,FALSE,FALSE,none,140,101,140,Shiyan,
2428A,武当山,湖北,十堰,111.0419,32.395,Y,FALSE,Hubei,Shiyan,neighbor2,FALSE,FALSE,none,140,101,140,Shiyan,
2427A,团城山,湖北,黄石,115.0264,30.2099,N,FALSE,Hubei,Huangshi,none,FALSE,FALSE,none,135,318,135,Huangshi,
2426A,铁山,湖北,黄石,114.8949,30.2043,N,FALSE,Hubei,Huangshi,none,FALSE,FALSE,none,135,318,135,Huangshi,
2425A,新下陆,湖北,黄石,114.9551,30.1765,N,FALSE,Hubei,Huangshi,none,FALSE,FALSE,none,135,318,135,Huangshi,
2424A,陈家湾,湖北,黄石,115.0767,30.2028,N,FALSE,Hubei,Huangshi,none,FALSE,FALSE,none,135,318,135,Huangshi,
2423A,沈家营,湖北,黄石,115.0625,30.2352,N,FALSE,Hubei,Huangshi,none,FALSE,FALSE,none,135,318,135,Huangshi,
2422A,天方二分厂,河南,驻马店,113.996,32.996,N,FALSE,Henan,Zhumadian,neighbor2,FALSE,FALSE,none,131,319,131,Zhumadian,
2421A,市彩印厂,河南,驻马店,114.0131,33.0069,N,FALSE,Henan,Zhumadian,neighbor2,FALSE,FALSE,none,131,319,131,Zhumadian,
2420A,市一纸厂,河南,驻马店,114.018,32.965,N,FALSE,Henan,Zhumadian,neighbor2,FALSE,FALSE,none,131,319,131,Zhumadian,
2429A,滨河新村,湖北,十堰,110.78,32.6494,N,FALSE,Hubei,Shiyan,neighbor2,FALSE,FALSE,none,140,101,140,Shiyan,
2386A,市交警支队,河南,鹤壁,114.2956,35.7511,N,FALSE,Henan,Hebi,26+2,FALSE,FALSE,none,115,350,115,Hebi,2+26
